"","Country","Tag","StandardizedAmount"
"494","South Africa","Supplies",0.165133043478261
"495","South Africa","Rental",0
"496","South Africa","Alcohol",0
"497","South Africa","Fees",0
"498","South Africa","Gas",0
"499","South Africa","Entry",0.688054347826087
"500","South Africa","ATM",0
"501","South Africa","Gym",0
"502","South Africa","Bathroom",0
"503","South Africa","Gambling",0
"504","South Africa","Tip",0.0365651739130435
"505","South Africa","Gift",0.0570102173913043
"506","South Africa","",0
"507","Namibia","Transit",0
"508","Namibia","Food",10.233145105
"509","Namibia","Sim",0.451931425
"510","Namibia","Taxi",0.0678225
"511","Namibia","Massage",0
"512","Namibia","Bus",13.11264
"513","Namibia","Accommodation",6.33018
"514","Namibia","Internet",0
"515","Namibia","Laundry",0
"516","Namibia","Tour",0
"517","Namibia","Supplies",0
"518","Namibia","Rental",0
"519","Namibia","Alcohol",0
"520","Namibia","Fees",0
"521","Namibia","Gas",0.5652
"522","Namibia","Entry",0
"523","Namibia","ATM",0
"524","Namibia","Gym",0
"525","Namibia","Bathroom",0
"526","Namibia","Gambling",0
"527","Namibia","Tip",0.0474768
"528","Namibia","Gift",0
"529","Namibia","",0
